TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RANDOM,TIME_RANDOM,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC,CLASS
fr.pingtimeout.jtail.gui.controller.FileIndexerWorker,class,0.208333333333333,82929,0.166666666666667,84746,0.041666666666666,-1817,1,12,2,0,19,0,4,2,0,3,0,1,12,108,RANDOM
org.sourceforge.ifx.framework.element.CustPayeeRec,class,1,3712,1,2506,0,1206,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.CreditAddRq_Type,class,1,24672,0.972222222222222,20699,0.027777777777778,3973,6,12,1,1,1,36,12,12,0,6,1,0,0,134,GA
lotus.core.decision.DeclareBlockerDecision,class,0.71875,62321,0.625,69180,0.09375,-6859,4,1,1,0,1,0,1,1,0,2,2,0,0,13,RANDOM
org.sourceforge.ifx.framework.element.ClientApp,class,1,11596,0.916666666666667,1678,0.083333333333333,9918,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.XferInfo_Type,class,1,21107,0.932291666666667,69987,0.067708333333333,-48880,15,30,1,1,1,351,30,30,0,15,1,0,0,296,RANDOM
com.lts.beans.IntrospectorUtils,class,0.31203007518797,62506,0.261367704976727,63230,0.050662370211243,-724,0,5,1,0,10,1,2,2,2,0,0,0,1,73,RANDOM
org.sourceforge.ifx.framework.complextype.PmtAuthInqRq_Type,class,1,12780,0.965277777777778,29707,0.034722222222222,-16927,10,20,1,1,1,136,20,20,0,10,1,0,0,206,RANDOM
org.sourceforge.ifx.framework.complextype.PmtEnclStatusModRs_Type,class,1,10603,0.946969696969697,31265,0.053030303030303,-20662,11,22,1,1,1,171,22,22,0,11,1,0,0,224,RANDOM
lotus.core.Arbiter,class,0.881009615384615,66357,0.881009615384615,66846,0,-489,4,5,1,0,3,1,2,2,2,0,0,0,1,38,RANDOM
org.sourceforge.ifx.framework.element.CustModRq,class,1,3423,0.916666666666667,2478,0.083333333333333,945,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.jcvi.jillion.fasta.nt.UnCommentedNucleotideSequenceFastaRecord,class,0.959306318681319,78038,0.928282851602179,74490,0.03102346707914,3548,2,11,1,1,8,13,7,7,0,2,0,0,2,94,GA
com.sap.managementconsole.soap.axis.sapcontrol.RESTRICTIONTYPE,class,0.954545454545455,82627,0.899038461538462,74291,0.055506993006993,8336,7,13,1,0,6,39,11,10,5,17,14,16,2,84,GA
Client,class,0.128938341406877,110658,0.206301346251003,72258,-0.077363004844126,38400,20,224,15,0,136,1429,62,53,1,47,0,0,21,1424,GA
oasis.names.tc.ciq.xsdschema.xal._2.BuildingNameType,class,0.972222222222222,69628,0.968253968253968,8801,0.003968253968254,60827,0,9,1,0,0,28,9,9,0,5,0,0,0,170,GA
org.exolab.jms.tools.migration.proxy.DestinationStore,class,0.193897058823529,88141,0.240010893246187,99209,-0.046113834422658,-11068,9,19,1,0,29,33,11,9,0,6,2,0,3,244,RANDOM
org.exolab.jms.tools.migration.proxy.Subscription,class,0.965909090909091,71016,0.922077922077922,10246,0.043831168831169,60770,2,4,1,0,1,2,4,4,0,2,0,0,0,97,GA
