TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC
org.sourceforge.ifx.framework.complextype.ChkIssueAdviseRs_Type,class,1,20086,0.983333333333333,32931,0.016666666666667,0.609941999939267,9,18,1,1,1,105,18,18,0,9,1,0,0,188
org.sourceforge.ifx.framework.complextype.CustSvcDelRs_Type,class,1,42008,0.981481481481482,84072,0.018518518518518,0.499666952136264,13,26,1,1,1,253,26,26,0,13,1,0,0,260
org.sourceforge.ifx.framework.element.DebitAuthInfo,class,1,4132,0.916666666666667,2128,0.083333333333333,1.94172932330827,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.element.CreditSyncRs,class,1,8761,0.916666666666667,2706,0.083333333333333,3.23762010347376,1,2,2,0,1,1,2,2,0,0,0,0,0,40
osa.ora.server.client.ui.SettingPanel,class,0.622704228909576,84234,0.274716749657213,70339,0.347987479252363,1.19754332589317,1,21,5,0,49,67,9,3,0,21,0,0,3,232
org.quickserver.util.xmlreader.ClientHandlerObjectPoolConfig,class,0.916666666666667,67616,0.904761904761905,5007,0.011904761904762,13.5042939884162,1,4,2,0,9,3,3,3,0,0,0,0,0,42
org.sourceforge.ifx.framework.element.CreditAuthSyncRs,class,1,11461,0.916666666666667,2445,0.083333333333333,4.68752556237219,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.MediaAcctAdjSyncRs_Type,class,1,12592,0.946666666666667,69430,0.053333333333333,0.181362523404868,12,24,1,1,1,210,24,24,0,12,1,0,0,242
mygrid.web.ArrayOfDependency,class,0.897325375773652,74167,0.815380931329207,88736,0.081944444444445,0.835816354129102,8,20,1,0,12,11,10,10,3,4,0,1,3,103
mygrid.web.MarshalByRefObject,class,0.724327803203661,65422,0.684946060804184,75376,0.039381742399477,0.867942050520059,7,12,1,1,1,0,6,6,3,3,0,1,0,70
bcry.bcFileDialog,class,0.204116815501845,86894,0.264909377190865,82187,-0.06079256168902,1.05727183131152,1,39,3,0,29,42,16,13,0,13,0,0,0,191
org.sourceforge.ifx.framework.element.AppVersionNum,class,0.9375,62361,0.916666666666667,1526,0.020833333333333,40.8656618610747,1,2,5,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.ChksumAudRs_Type,class,1,65871,0.950617283950617,79793,0.049382716049383,0.825523542165353,12,24,1,1,1,210,24,24,0,12,1,0,0,242
net.virtualinfinity.atrobots.hardware.scanning.sonar.Sonar,class,0.642857142857143,75739,0.69047619047619,77370,-0.047619047619047,0.978919477833786,4,6,1,0,9,6,4,3,0,2,0,0,3,34
org.sourceforge.ifx.framework.complextype.TerminalSPObjInfo_Type,class,1,6010,0.972222222222222,3030,0.027777777777778,1.98349834983498,3,6,1,1,1,3,6,6,0,3,1,0,0,80
org.dom4j.tree.ConcurrentReaderHashMap,class,0.705334804472808,174474,0.695518130701115,194179,0.009816673771693,0.898521467305939,9,141,9,0,37,1557,63,47,1,23,2,4,4,1069
com.allenstudio.ir.ui.MainMenu,class,0.91089051433879,73549,0.875014512945548,75425,0.035876001393242,0.975127610208817,2,20,5,0,20,6,4,2,0,4,0,3,11,150
jahuwaldt.plot.PlotAxis,class,0.946168863488141,120729,0.85905712698616,102935,0.087111736501981,1.17286637198232,5,41,1,2,9,288,28,24,0,14,4,5,2,366
org.sourceforge.ifx.framework.complextype.BankAcctTrnImgRevRs_Type,class,1,30961,0.951388888888889,75744,0.048611111111111,0.408758449514153,12,24,1,1,1,210,24,24,0,12,1,0,0,242
net.virtualinfinity.atrobots.snapshots.UnknownSnapshot,class,1,5726,1,4128,0,1.38711240310078,2,2,2,0,1,1,2,2,0,1,0,0,0,16
