TARGET_CLASS,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,Project,Package,Class,INT-INT,INT-FLOAT,FLOAT-FLOAT,BOOL-BOOL,REF-REF,REF-NULL,VARVAR,VAREXP,VARMETHOD,VARCONST,VARARRAY,EXPEXP,EXPMETHOD,EXPCONST,EXPARRAY,METHODMETHOD,METHODCONST,METHODARRAY,CONSTCONST,CONSTARRAY,ARRAYARRAY,NLp,NNLp,Nodes,Edges,CompCicl,NPths,PS,NCtr,NEl,NCtt,NVar,NEx,NMC,NIC,NIntC,NEC,NInt,NFlt,NNull,NArr,NStr,NObj,NLExp,UPC,Args,Lob,CLASS
de.paragon.explorer.util.ObjectViewManager,0.794695997199206,89660,0.874795775469716,102126,-0.08009977827051,-12466,/home/gramos/USP/MSI/63_objectexplorer,de.paragon.explorer.util,ObjectViewManager,0,0,0,8.416667,0,1,0,0,0,1,0,0,0,0,0,0,8.666667,0,0,0,0,4,2,25,29,16,16,16.833333,9.666667,31.25,9.666667,1.75,0,19.833333,7.916667,11.666667,0.25,17.083333,0,1.25,0,0,12.916666,0,0,0,92,RANDOM
net.sf.xbus.base.deletedMessageStore.DeletedMessageStore,0.2872754419269,71202,0.274888943703449,71302,0.012386498223451,-100,/home/gramos/USP/MSI/83_xbus,net.sf.xbus.base.deletedMessageStore,DeletedMessageStore,0,0,0,4.944927,0,0,0,0.5,0,1,0,0,0,0,0,0,10.963768,0,1.043478,0,0,4,0,83,146,91,86,39.857556,17.851552,103.642857,26.688406,17.789855,4.344307,54.82029,0,16.647826,38.172464,18.107246,0,10.301449,15.66087,0,61.752175,0,4,6,636,GA
net.sourceforge.squirrel_sql.client.gui.session.CatalogsPanel,0.504479794399149,86607,0.244458229942101,75512,0.260021564457048,11095,/home/gramos/USP/MSI/102_squirrel-sql,net.sourceforge.squirrel_sql.client.gui.session,CatalogsPanel,0,0,0,1.329545,0,2.545455,0,0,0,2.920455,0,0,0,0,0,0,2.863636,0,0,0,0,0,0,22,35,23,23,13.636363,6.920454,21.522727,5.965909,6.431818,1.136364,7.988636,0,6.443182,1.545454,3.409091,0,4.079546,0.181818,1,12.715909,0,0,3,108,GA
org.javathena.conf.LoginAthena,0.944240196078431,141243,0.896555169377614,132297,0.047685026700817,8946,/home/gramos/USP/MSI/81_javathena,org.javathena.conf,LoginAthena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1,0,4,4,2,2,4,1.5,9,3,0,0,6,0,0,6,0,0,1.5,1.5,0,6,0,1,0,37,GA
macaw.presentationLayer.SupportingDocumentSearchTableModel,0.735421960072595,118838,0.813681941923775,107653,-0.07825998185118,11185,/home/gramos/USP/MSI/69_lhamacaw,macaw.presentationLayer,SupportingDocumentSearchTableModel,0,0,0,0,0,0,0,0,0,3.916667,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,7,7,6.666667,3.916667,7.833333,3.916667,3.916667,0,0,0,0,0,7.833333,0,0,0,0,0,0,0,2,43,RANDOM
org.jcvi.jillion.fasta.nt.LargeNucleotideSequenceFastaIterator,0.156845238095238,74514,0.063690476190476,66210,0.093154761904762,8304,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.fasta.nt,LargeNucleotideSequenceFastaIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19,GA
com.soops.CEN4010.JMCA.JParser.xmlParser.IterationStatement,0.975,70967,0.971428571428571,67670,0.003571428571429,3297,/home/gramos/USP/MSI/19_jmca,com.soops.CEN4010.JMCA.JParser.xmlParser,IterationStatement,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,8,10,6,6,6.5,3.25,13,6.5,3.25,0,3.25,0,0,3.25,6.5,0,0,6.5,0,3.25,0,1,1,47,GA
com.sap.managementconsole.soap.axis.sapcontrol.J2EEThread2,0.941339407702817,142897,0.871287196611225,108642,0.070052211091592,34255,/home/gramos/USP/MSI/101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EEThread2,0,0,0,2.440678,1,2.135593,1,0,0.050847,10.830508,0,0,0,0,0,0,19.523164,0,0,0,0,0,0,96,161,74,74,35.220339,31.40452,72.131073,31.353672,20.762712,0,20.014689,12.133333,6.474577,0.40678,4.983051,0,27.912994,8.101695,0,38.235029,0,1,0,377,GA
org.quickserver.net.client.Host,0.966216216216216,73502,0.942084942084942,19518,0.024131274131274,53984,/home/gramos/USP/MSI/93_quickserver,org.quickserver.net.client,Host,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,2,2.5,1,2,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,41,GA
org.dom4j.datatype.DatatypeElement,0.800994897959184,110505,0.773456632653061,87925,0.027538265306123,22580,/home/gramos/USP/MSI/62_dom4j,org.dom4j.datatype,DatatypeElement,0,0,0,0.4,0,1,0,0,0,1,0,0,0,0,0,0,3.8,0,0,0,0,0,0,17,18,11,11,11.2,5.8,14,5.2,3.4,1,4.4,3.4,0,0.6,2,0,3.8,2,0,6.8,0,0,1,71,GA
